34 2
34 -2.153177 0.033682
1 -1.889816 0.918721
33 -2.099773 0.203055
3 -2.083752 0.213896
2 -1.975926 0.599576
7 -1.760673 1.268113
4 -2.072314 0.283700
24 -2.152093 -0.045288
32 -2.008346 0.383788
14 -2.004844 0.601036
6 -1.783546 1.061317
9 -2.129487 0.154027
30 -2.035270 0.329355
8 -1.978159 0.593622
28 -2.073593 0.131827
31 -2.027247 0.399838
20 -1.958038 0.668194
5 -1.814397 0.849072
17 -1.790180 0.888905
25 -1.829263 0.580007
26 -1.945179 0.191446
11 -1.865620 0.634282
29 -1.954948 0.427411
13 -1.928142 0.473778
15 -2.064145 0.156469
27 -1.988492 0.216366
21 -1.936458 0.538107
16 -1.949287 0.454142
18 -1.916940 0.497743
23 -2.052874 0.127054
10 -1.999575 0.298344
22 -1.867514 0.584770
19 -1.936687 0.283392
12 -1.749961 0.469796
